"","V1","V2"
"","Control","Treatment"
"High School but did not graduate","1","0"
"High School graduate or GED","1","2"
"Some college or 2-year degree","3","2"
"Bachelor in CS (Computer Science)","2","2"
"Bachelor in STEM (Science, Technology, Engineering and Mathematics)","1","1"
"","0","0"
"Master in CS","16","8"
"Master in STEM","1","2"
"","0","0"
"PhD or higher academic title in CS","12","15"
"PhD or higher academic title in STEM","1","1"
"PhD or higher academic title in a different area than CS or STEM","1","1"
