"","","NA","Disagree","Nor disagree or agree","Agree","Strongly Agree"
"1","experiment.easiness",NA,"19","22","31","2"
"2","experiment.length","2","16","22","31","2"
"3","ocd.help",NA,"1","12","38","18"
"4","ocd.performance",NA,NA,"8","39","22"
"5","ocd.productivity",NA,"3","16","37","12"
"6","ocd.effectiveness",NA,NA,"14","37","18"
"7","ocd.easiness",NA,"2","9","44","13"
"8","ocd.usefulness",NA,"1","3","34","30"
"9","learn.ocd",NA,"2","14","31","21"
"10","ocd.tasks.help",NA,"5","20","35","7"
"11","ocd.interaction",NA,"4","17","39","7"
"12","ocd.skills",NA,"3","16","36","12"
"13","ocd.debugging",NA,"3","10","36","17"
"14","ocd.use",NA,"3","15","30","18"
"15","ocd.future",NA,NA,"7","26","33"
"16","ocd.over.classical",NA,"6","30","18","12"
